subjects,act_with_objects,act_with_places,objects,places
An Alien with sunglasses,paints a chocolate fountain,dances on the moon,a pizza slice with rocket boosters,a local train inside VR
A Talking Parrot with a funny mustache,invents 100 samosas,runs at Parliament,a spaceship made of chocolate,the moon inside VR
An Alien with sunglasses,orders a goat statue,parties on the moon,a robot with googly eyes,a metro station while eating pizza
A Robot from a parallel universe,orders a spaceship made of bamboo,parties at India Gate,a time machine covered in gold,India Gate inside VR
A Baby from Noida,launches a pizza factory,declares war on a rooftop,a pizza slice covered in gold,a jungle in zero gravity
A Bollywood Actor from Noida,breaks a cricket bat made of gold,runs on a rooftop,a flying scooter from the future,a cricket stadium while eating pizza
A Goat with sunglasses,throws a time machine,sings during IPL matches,a magic carpet with googly eyes,a cricket stadium underwater
A Robot disguised as a teacher,invents a robot army,sleeps inside a washing machine,a magic carpet that glows in dark,a cricket stadium during IPL
A Baby on Mars,steals a flying rickshaw,argues at Parliament,a flying scooter that can talk,the Parliament in zero gravity
A Goat with a funny mustache,cancels 100 samosas,sings during IPL matches,a time machine that dances,the moon underwater
A Robot from Noida,steals a robot army,runs in a railway station,a pizza slice with googly eyes,a cricket stadium on Diwali
A Robot disguised as a teacher,breaks a spaceship made of bamboo,cries inside a metro,a rickshaw that explodes,a haunted mansion at midnight
A Robot riding a scooter,orders a chocolate fountain,sleeps in a railway station,a rickshaw made of chocolate,a swimming pool at midnight
An Alien on Mars,cancels a chocolate fountain,sleeps inside a washing machine,a cricket bat that glows in dark,a haunted mansion with ghosts
P.M. Modi from Noida,invents a cricket bat made of gold,meditates at India Gate,a rickshaw that sings,a jungle on Diwali
A Talking Parrot living in the metro,eats a golden iPhone,sleeps in a railway station,a magic carpet with googly eyes,a metro station at midnight
An Alien with sunglasses,cancels a flying rickshaw,declares war on the moon,a flying scooter covered in gold,a local train during IPL
P.M. Modi disguised as a teacher,cancels a robot army,sings in a haunted house,a cricket bat that can talk,a local train inside VR
A Ninja on Mars,eats a golden iPhone,meditates in a railway station,a pizza slice that can talk,India Gate inside VR
A Goat living in the metro,steals 100 samosas,teaches inside a metro,a time machine that sings,the moon during IPL
A Robot with a funny mustache,breaks a robot army,runs at India Gate,a spaceship that glows in dark,a shopping mall underwater
Elon Musk with sunglasses,eats a chocolate fountain,teaches inside a metro,a spaceship that sings,a cricket stadium with ghosts
A Baby disguised as a teacher,breaks a chocolate fountain,sings on the moon,a rickshaw made of chocolate,India Gate on Diwali
A Talking Parrot from Noida,launches a goat statue,argues inside a washing machine,a pizza slice with googly eyes,a cricket stadium underwater
A Robot with a funny mustache,steals a robot army,teaches inside a washing machine,a flying scooter that explodes,a shopping mall while raining
A Bollywood Actor from Noida,launches a chocolate fountain,cries on a rooftop,a pizza slice that explodes,the moon on Diwali
A Goat disguised as a teacher,paints 100 samosas,declares war in a railway station,a golden cow that dances,the moon inside VR
A Ghost that only eats pizza,orders a flying rickshaw,declares war during IPL matches,a time machine made of chocolate,a shopping mall during IPL
P.M. Modi from a parallel universe,orders a chocolate fountain,runs inside a metro,a time machine with googly eyes,the Parliament during IPL
A Robot from Noida,eats 100 samosas,sleeps inside a metro,a cricket bat covered in gold,the Parliament while eating pizza
A Goat with a funny mustache,hugs a golden iPhone,cries inside a washing machine,a cricket bat that dances,a local train at midnight
A Ninja disguised as a teacher,throws a chocolate fountain,meditates during IPL matches,a golden cow that glows in dark,a jungle on Diwali
Elon Musk who can rap,eats a time machine,meditates on a rooftop,a robot with googly eyes,a haunted mansion while raining
An Alien living in the metro,orders 100 samosas,declares war on the moon,a spaceship that can talk,a haunted mansion on Diwali
Elon Musk with sunglasses,eats a pizza factory,declares war at India Gate,a golden cow made of chocolate,the Parliament underwater
A Bollywood Actor that only eats pizza,launches a flying rickshaw,runs inside a metro,a time machine made of chocolate,a cricket stadium underwater
A Talking Parrot living in the metro,eats a flying rickshaw,dances in a railway station,a flying scooter that can talk,a swimming pool inside VR
A Goat disguised as a teacher,invents a pizza factory,sings at Parliament,a magic carpet that explodes,a haunted mansion underwater
A Ghost with a funny mustache,cancels a flying rickshaw,runs inside a washing machine,a pizza slice that explodes,India Gate inside VR
A Ninja riding a scooter,breaks a time machine,dances inside a metro,a spaceship with rocket boosters,a cricket stadium with ghosts
A Bollywood Actor with a funny mustache,hugs a cricket bat made of gold,parties in a railway station,a golden cow that dances,a cricket stadium inside VR
A Ghost from a parallel universe,eats a spaceship made of bamboo,dances in a railway station,a golden cow that glows in dark,a cricket stadium while raining
A Baby riding a scooter,hugs a time machine,cries in a swimming pool,a cricket bat that can talk,a local train during IPL
An Alien disguised as a teacher,orders a pizza factory,argues in a swimming pool,a spaceship that explodes,a metro station while raining
An Alien from Noida,invents a goat statue,dances in a swimming pool,a pizza slice that dances,a jungle on Mars
P.M. Modi who can rap,orders a robot army,sings at India Gate,a cricket bat with googly eyes,a cricket stadium underwater
A Goat from Noida,eats a pizza factory,meditates on the moon,a robot that can talk,the moon in zero gravity
A Bollywood Actor riding a scooter,breaks a time machine,runs at India Gate,a golden cow that dances,a jungle at midnight
An Alien from a parallel universe,orders a time machine,parties in a haunted house,a robot that explodes,the moon underwater
P.M. Modi from a parallel universe,launches a cricket bat made of gold,declares war on a rooftop,a time machine that sings,a metro station during IPL
A Ninja disguised as a teacher,paints a spaceship made of bamboo,meditates in a haunted house,a golden cow that explodes,a metro station with ghosts
A Bollywood Actor disguised as a teacher,breaks a golden iPhone,cries at Parliament,a flying scooter made of chocolate,a metro station at midnight
P.M. Modi from Noida,cancels a pizza factory,parties on the moon,a pizza slice made of chocolate,a local train on Diwali
A Ninja with sunglasses,hugs a flying rickshaw,parties in a haunted house,a pizza slice made of chocolate,a cricket stadium inside VR
A Ghost on Mars,hugs a robot army,teaches on a rooftop,a pizza slice covered in gold,a local train with ghosts
Elon Musk that only eats pizza,invents a golden iPhone,meditates at Parliament,a time machine that dances,the moon on Diwali
An Alien on Mars,cancels a robot army,declares war at India Gate,a magic carpet made of chocolate,India Gate on Diwali
Elon Musk riding a scooter,invents a robot army,meditates on a rooftop,a spaceship that sings,a cricket stadium inside VR
An Alien living in the metro,orders a robot army,parties on the moon,a rickshaw that dances,a jungle while raining
A Robot disguised as a teacher,breaks 100 samosas,declares war on a rooftop,a cricket bat that sings,a cricket stadium underwater
A Robot from a parallel universe,steals a robot army,argues inside a metro,a robot that sings,a cricket stadium at midnight
P.M. Modi that only eats pizza,paints a cricket bat made of gold,declares war in a swimming pool,a samosa with googly eyes,a cricket stadium while raining
A Goat from a parallel universe,invents a goat statue,teaches at Parliament,a rickshaw covered in gold,a shopping mall at midnight
A Robot on Mars,launches 100 samosas,teaches in a railway station,a spaceship from the future,a jungle at midnight
A Ninja riding a scooter,eats a goat statue,dances inside a washing machine,a flying scooter that dances,a metro station with ghosts
An Alien with sunglasses,steals a goat statue,sleeps inside a washing machine,a golden cow with googly eyes,a shopping mall in zero gravity
A Talking Parrot that only eats pizza,launches a cricket bat made of gold,cries inside a metro,a samosa that can talk,a haunted mansion on Diwali
A Ninja disguised as a teacher,invents a goat statue,runs on the moon,a spaceship with googly eyes,a shopping mall while raining
A Goat who can rap,orders a golden iPhone,teaches in a railway station,a time machine that glows in dark,India Gate on Diwali
Elon Musk on Mars,hugs a flying rickshaw,teaches on the moon,a golden cow that dances,a haunted mansion in zero gravity
Elon Musk from a parallel universe,hugs 100 samosas,parties in a swimming pool,a samosa that can talk,a jungle while raining
Elon Musk that only eats pizza,breaks a chocolate fountain,runs on a rooftop,a samosa made of chocolate,the moon at midnight
A Baby from Noida,invents a pizza factory,declares war on a rooftop,a time machine that dances,a haunted mansion while raining
A Talking Parrot riding a scooter,paints a cricket bat made of gold,dances in a railway station,a spaceship that dances,a swimming pool inside VR
An Alien disguised as a teacher,invents 100 samosas,meditates in a haunted house,a rickshaw made of chocolate,India Gate on Diwali
A Ghost that only eats pizza,steals a cricket bat made of gold,dances during IPL matches,a rickshaw covered in gold,the Parliament on Mars
A Goat with sunglasses,breaks a robot army,runs during IPL matches,a pizza slice that explodes,a swimming pool on Diwali
P.M. Modi living in the metro,orders a golden iPhone,dances at Parliament,a golden cow covered in gold,a swimming pool in zero gravity
A Robot that only eats pizza,orders 100 samosas,parties in a railway station,a robot that explodes,the moon in zero gravity
A Bollywood Actor who can rap,eats a golden iPhone,sings during IPL matches,a pizza slice covered in gold,a metro station underwater
A Ghost that only eats pizza,steals a spaceship made of bamboo,teaches in a haunted house,a magic carpet with googly eyes,the Parliament underwater
A Ghost on Mars,hugs a cricket bat made of gold,sings at Parliament,a time machine from the future,a local train underwater
An Alien riding a scooter,steals a robot army,cries at Parliament,a flying scooter with googly eyes,a shopping mall during IPL
A Goat disguised as a teacher,orders a time machine,argues inside a metro,a robot covered in gold,a metro station while eating pizza
Elon Musk from Noida,hugs a chocolate fountain,meditates at India Gate,a magic carpet with googly eyes,the moon on Mars
An Alien from a parallel universe,invents a robot army,runs inside a metro,a samosa covered in gold,a swimming pool in zero gravity
A Talking Parrot who can rap,orders a flying rickshaw,declares war on the moon,a golden cow that sings,a cricket stadium in zero gravity
A Ghost that only eats pizza,launches a robot army,parties inside a washing machine,a pizza slice from the future,the Parliament while raining
A Ninja on Mars,cancels a chocolate fountain,runs in a haunted house,a rickshaw that can talk,a shopping mall underwater
A Bollywood Actor disguised as a teacher,invents a goat statue,parties in a haunted house,a robot that can talk,a jungle on Diwali
A Ninja from Noida,hugs a flying rickshaw,cries at India Gate,a cricket bat with googly eyes,a shopping mall on Diwali
A Robot from a parallel universe,breaks a time machine,sings on the moon,a time machine with googly eyes,India Gate with ghosts
A Baby who can rap,steals a chocolate fountain,argues inside a washing machine,a robot made of chocolate,a shopping mall with ghosts
A Talking Parrot disguised as a teacher,breaks a time machine,sleeps in a railway station,a rickshaw that can talk,the moon in zero gravity
An Alien living in the metro,throws a goat statue,parties at India Gate,a samosa with rocket boosters,a jungle while eating pizza
P.M. Modi living in the metro,breaks 100 samosas,cries in a swimming pool,a time machine that can talk,the moon during IPL
Elon Musk riding a scooter,throws a pizza factory,parties at Parliament,a pizza slice with rocket boosters,a cricket stadium in zero gravity
Elon Musk on Mars,eats a spaceship made of bamboo,declares war inside a washing machine,a robot with googly eyes,a haunted mansion underwater
Elon Musk living in the metro,breaks a robot army,sleeps inside a washing machine,a pizza slice with googly eyes,a haunted mansion inside VR
A Ghost from a parallel universe,launches a goat statue,meditates on a rooftop,a samosa that can talk,a metro station while eating pizza
A Ghost living in the metro,eats a chocolate fountain,cries at Parliament,a magic carpet that can talk,a local train during IPL
A Bollywood Actor from Noida,paints a robot army,parties inside a washing machine,a rickshaw with rocket boosters,the moon on Mars
A Ghost living in the metro,throws a golden iPhone,teaches on the moon,a cricket bat from the future,the Parliament while raining
A Robot riding a scooter,hugs a spaceship made of bamboo,declares war inside a washing machine,a pizza slice that sings,a jungle on Mars
A Bollywood Actor with sunglasses,orders a robot army,runs in a railway station,a rickshaw made of chocolate,a jungle with ghosts
P.M. Modi riding a scooter,paints a pizza factory,runs at Parliament,a cricket bat covered in gold,a shopping mall on Diwali
A Ninja living in the metro,hugs a time machine,cries in a swimming pool,a golden cow that explodes,the moon on Diwali
A Bollywood Actor with a funny mustache,hugs 100 samosas,argues on the moon,a magic carpet that sings,a swimming pool in zero gravity
A Baby riding a scooter,paints a chocolate fountain,sleeps at Parliament,a magic carpet that glows in dark,a swimming pool in zero gravity
A Ninja riding a scooter,cancels a chocolate fountain,sleeps in a railway station,a rickshaw that dances,the Parliament on Diwali
An Alien riding a scooter,cancels 100 samosas,dances during IPL matches,a golden cow from the future,a haunted mansion in zero gravity
Elon Musk disguised as a teacher,invents a goat statue,sings on a rooftop,a spaceship with rocket boosters,a local train inside VR
A Bollywood Actor on Mars,invents 100 samosas,teaches at Parliament,a magic carpet that dances,a metro station on Diwali
A Ghost living in the metro,breaks 100 samosas,argues during IPL matches,a robot that can talk,a metro station with ghosts
A Ninja from a parallel universe,hugs a golden iPhone,runs on the moon,a time machine that can talk,the Parliament while raining
Elon Musk from a parallel universe,invents a golden iPhone,runs at India Gate,a rickshaw with rocket boosters,a cricket stadium at midnight
A Baby that only eats pizza,breaks a golden iPhone,argues at Parliament,a time machine covered in gold,a jungle underwater
An Alien with sunglasses,breaks a time machine,sleeps during IPL matches,a samosa that can talk,the Parliament in zero gravity
An Alien on Mars,throws a flying rickshaw,declares war at Parliament,a flying scooter made of chocolate,a haunted mansion in zero gravity
A Talking Parrot disguised as a teacher,steals a pizza factory,teaches on a rooftop,a time machine with rocket boosters,a haunted mansion in zero gravity
A Ninja with sunglasses,paints a chocolate fountain,runs inside a metro,a golden cow from the future,a haunted mansion on Diwali
A Goat that only eats pizza,breaks a time machine,argues at Parliament,a spaceship from the future,a metro station with ghosts
A Goat living in the metro,eats a golden iPhone,argues in a swimming pool,a rickshaw from the future,a cricket stadium on Mars
An Alien from a parallel universe,cancels 100 samosas,declares war on the moon,a rickshaw with rocket boosters,a shopping mall on Mars
An Alien from Noida,cancels a pizza factory,sings at Parliament,a spaceship that can talk,a local train with ghosts
A Baby with sunglasses,hugs a pizza factory,runs in a railway station,a spaceship covered in gold,a haunted mansion with ghosts
A Baby from Noida,invents a robot army,sleeps on a rooftop,a samosa that glows in dark,a shopping mall inside VR
P.M. Modi that only eats pizza,eats a time machine,dances in a swimming pool,a rickshaw with rocket boosters,the Parliament in zero gravity
A Robot living in the metro,hugs 100 samosas,cries at Parliament,a spaceship that dances,the moon inside VR
P.M. Modi disguised as a teacher,hugs a goat statue,runs in a swimming pool,a samosa that can talk,a jungle on Diwali
An Alien disguised as a teacher,launches a pizza factory,parties during IPL matches,a spaceship covered in gold,a local train while raining
An Alien that only eats pizza,hugs a pizza factory,argues in a haunted house,a time machine that explodes,a local train with ghosts
A Ninja disguised as a teacher,hugs a chocolate fountain,sleeps on the moon,a robot with googly eyes,a cricket stadium on Diwali
P.M. Modi on Mars,throws a robot army,argues on a rooftop,a spaceship that glows in dark,India Gate on Diwali
A Goat with a funny mustache,paints a spaceship made of bamboo,teaches in a haunted house,a samosa covered in gold,a metro station at midnight
An Alien with sunglasses,hugs a spaceship made of bamboo,declares war inside a metro,a cricket bat that dances,the Parliament on Diwali
A Talking Parrot riding a scooter,orders a pizza factory,teaches at Parliament,a flying scooter that can talk,a shopping mall inside VR
P.M. Modi on Mars,orders a time machine,runs inside a metro,a pizza slice covered in gold,India Gate while raining
A Talking Parrot on Mars,hugs a spaceship made of bamboo,teaches on the moon,a magic carpet made of chocolate,the Parliament while eating pizza
P.M. Modi from a parallel universe,throws 100 samosas,parties inside a washing machine,a flying scooter covered in gold,a shopping mall with ghosts
A Baby from a parallel universe,orders a goat statue,teaches in a swimming pool,a cricket bat from the future,the Parliament underwater
An Alien from Noida,launches 100 samosas,meditates in a railway station,a golden cow from the future,a metro station with ghosts
A Ghost living in the metro,orders a flying rickshaw,meditates in a swimming pool,a flying scooter that sings,the moon while raining
A Talking Parrot from a parallel universe,paints a goat statue,dances in a swimming pool,a rickshaw that can talk,a cricket stadium during IPL
P.M. Modi with sunglasses,hugs 100 samosas,meditates at Parliament,a time machine covered in gold,India Gate at midnight
A Robot living in the metro,orders a chocolate fountain,runs on a rooftop,a samosa that can talk,a haunted mansion in zero gravity
Elon Musk with sunglasses,orders 100 samosas,parties on the moon,a pizza slice that sings,India Gate with ghosts
A Bollywood Actor from Noida,orders 100 samosas,cries inside a metro,a magic carpet that explodes,a local train underwater
A Ghost who can rap,hugs a pizza factory,dances at Parliament,a time machine with rocket boosters,a shopping mall in zero gravity
A Baby who can rap,eats a robot army,sings on the moon,a magic carpet that glows in dark,India Gate on Diwali
A Baby on Mars,cancels 100 samosas,declares war inside a metro,a robot that can talk,a local train on Diwali
A Ghost on Mars,throws 100 samosas,sleeps during IPL matches,a cricket bat that explodes,a shopping mall on Mars
A Goat with a funny mustache,orders a golden iPhone,cries inside a washing machine,a magic carpet from the future,a swimming pool while eating pizza
A Robot living in the metro,invents a pizza factory,parties in a swimming pool,a flying scooter that can talk,a shopping mall at midnight
A Baby on Mars,paints a cricket bat made of gold,runs in a railway station,a flying scooter with rocket boosters,a local train with ghosts
A Talking Parrot living in the metro,orders a flying rickshaw,teaches in a haunted house,a cricket bat with googly eyes,a metro station on Mars
A Baby riding a scooter,steals a golden iPhone,dances in a railway station,a flying scooter that glows in dark,a metro station on Diwali
A Robot on Mars,breaks a chocolate fountain,declares war inside a washing machine,a golden cow that explodes,a haunted mansion on Mars
A Ninja riding a scooter,breaks a robot army,sleeps inside a washing machine,a rickshaw with googly eyes,a haunted mansion underwater
A Goat on Mars,paints a golden iPhone,sleeps in a haunted house,a samosa with rocket boosters,a local train on Diwali
A Bollywood Actor on Mars,paints a golden iPhone,argues in a haunted house,a samosa made of chocolate,a shopping mall underwater
A Baby who can rap,hugs a cricket bat made of gold,declares war during IPL matches,a flying scooter with rocket boosters,a local train underwater
A Ninja living in the metro,eats 100 samosas,sings in a swimming pool,a robot covered in gold,the Parliament on Mars
P.M. Modi riding a scooter,eats a goat statue,declares war in a railway station,a spaceship that dances,a metro station on Diwali
An Alien disguised as a teacher,orders a robot army,meditates at Parliament,a rickshaw covered in gold,a shopping mall while eating pizza
A Talking Parrot with a funny mustache,invents a cricket bat made of gold,parties inside a washing machine,a rickshaw that sings,a swimming pool while eating pizza
A Robot disguised as a teacher,launches a golden iPhone,parties on the moon,a golden cow with rocket boosters,a jungle while eating pizza
A Bollywood Actor from a parallel universe,paints a pizza factory,cries inside a washing machine,a rickshaw with rocket boosters,a jungle on Diwali
An Alien from Noida,steals a flying rickshaw,cries at India Gate,a golden cow with googly eyes,India Gate in zero gravity
A Robot on Mars,orders a cricket bat made of gold,meditates inside a washing machine,a golden cow with rocket boosters,the moon underwater
A Bollywood Actor from Noida,paints a robot army,declares war on the moon,a rickshaw that can talk,the moon in zero gravity
An Alien with sunglasses,invents a cricket bat made of gold,sleeps on a rooftop,a time machine with rocket boosters,the moon in zero gravity
P.M. Modi riding a scooter,throws a spaceship made of bamboo,sleeps on the moon,a time machine made of chocolate,the Parliament while eating pizza
A Baby living in the metro,orders a pizza factory,declares war on a rooftop,a cricket bat from the future,a swimming pool during IPL
P.M. Modi on Mars,eats a golden iPhone,teaches in a haunted house,a robot that glows in dark,a jungle while raining
A Robot with sunglasses,hugs a spaceship made of bamboo,parties during IPL matches,a samosa that glows in dark,a swimming pool while raining
A Bollywood Actor who can rap,invents a cricket bat made of gold,parties in a swimming pool,a time machine covered in gold,the moon inside VR
A Baby that only eats pizza,throws a pizza factory,sleeps during IPL matches,a time machine with rocket boosters,a haunted mansion with ghosts
Elon Musk with a funny mustache,paints a cricket bat made of gold,dances on the moon,a flying scooter that glows in dark,a local train inside VR
A Ghost on Mars,paints 100 samosas,meditates inside a washing machine,a rickshaw that explodes,a swimming pool during IPL
A Goat from a parallel universe,eats 100 samosas,sings at Parliament,a spaceship that can talk,the Parliament on Mars
An Alien disguised as a teacher,cancels a chocolate fountain,dances in a railway station,a golden cow from the future,India Gate on Mars
An Alien with sunglasses,paints a flying rickshaw,sleeps inside a washing machine,a robot with rocket boosters,a shopping mall during IPL
A Robot from Noida,breaks a robot army,teaches during IPL matches,a robot made of chocolate,a shopping mall while raining
An Alien from a parallel universe,paints a robot army,argues on the moon,a spaceship that explodes,India Gate at midnight
A Goat on Mars,orders a robot army,sings during IPL matches,a robot that can talk,a swimming pool while raining
A Goat who can rap,hugs a chocolate fountain,cries at India Gate,a time machine made of chocolate,India Gate underwater
A Goat on Mars,cancels a golden iPhone,cries during IPL matches,a robot that explodes,a cricket stadium on Mars
An Alien with sunglasses,orders a golden iPhone,parties inside a washing machine,a robot made of chocolate,a jungle on Mars
Elon Musk disguised as a teacher,paints a pizza factory,teaches in a haunted house,a spaceship that glows in dark,a haunted mansion during IPL
A Robot that only eats pizza,eats a robot army,parties on a rooftop,a robot that dances,a shopping mall during IPL
A Ninja with sunglasses,hugs a chocolate fountain,cries in a haunted house,a spaceship that explodes,a shopping mall at midnight
A Goat that only eats pizza,paints a flying rickshaw,meditates inside a washing machine,a rickshaw with googly eyes,the Parliament in zero gravity
A Goat from a parallel universe,invents a golden iPhone,runs at Parliament,a magic carpet with googly eyes,a jungle while eating pizza
A Bollywood Actor with sunglasses,hugs 100 samosas,dances on the moon,a golden cow that sings,a haunted mansion on Mars
P.M. Modi who can rap,cancels a cricket bat made of gold,teaches inside a washing machine,a robot that can talk,a cricket stadium with ghosts
A Robot riding a scooter,throws a pizza factory,sleeps at India Gate,a time machine that explodes,a cricket stadium underwater
A Ninja on Mars,steals 100 samosas,dances during IPL matches,a magic carpet covered in gold,a local train during IPL
A Talking Parrot who can rap,hugs a flying rickshaw,sleeps in a railway station,a samosa covered in gold,a shopping mall on Mars
Elon Musk that only eats pizza,paints a flying rickshaw,sings inside a washing machine,a time machine with googly eyes,a cricket stadium while raining
A Talking Parrot disguised as a teacher,steals a pizza factory,runs inside a washing machine,a spaceship from the future,a haunted mansion inside VR
P.M. Modi living in the metro,breaks 100 samosas,declares war on a rooftop,a time machine that sings,a swimming pool inside VR
P.M. Modi with a funny mustache,breaks a chocolate fountain,sings on a rooftop,a cricket bat that glows in dark,a haunted mansion while eating pizza
A Ghost riding a scooter,throws a chocolate fountain,sleeps in a railway station,a spaceship made of chocolate,a swimming pool while raining
A Goat disguised as a teacher,eats a spaceship made of bamboo,teaches in a haunted house,a magic carpet that sings,a jungle on Mars
A Bollywood Actor with sunglasses,orders a flying rickshaw,runs in a railway station,a golden cow that can talk,the moon on Mars
A Bollywood Actor riding a scooter,invents a golden iPhone,sleeps at India Gate,a rickshaw from the future,India Gate with ghosts
A Goat from Noida,launches a flying rickshaw,teaches in a railway station,a magic carpet made of chocolate,the moon on Diwali
A Ninja living in the metro,steals a spaceship made of bamboo,meditates on the moon,a flying scooter that sings,the moon during IPL
P.M. Modi with a funny mustache,steals 100 samosas,teaches on the moon,a samosa with rocket boosters,a shopping mall during IPL
